Column,VIF
age,3.156979245653948
number_of_dependants,1.9628844717664495
bmi_category,2.6834076737692625
income_level,11.929241855707476
income_lakhs,11.875672681439486
insurance_plan,1.5926963294750152
genetical_risk,2.979866815409837
normalized_risk_score,1.1551105840173903
gender_male,2.300092079056444
region_northwest,2.155657452390482
region_southeast,2.994844989965848
region_southwest,2.7495602459949136
marital_status_unmarried,8.311546619129713
smoking_status_occasional,1.133181380307435
smoking_status_regular,1.3852373177621162
employment_status_salaried,1.6752850972804192
employment_status_self-employed,1.2962653864237796
