Column,VIF
age,3.932259073059117
number_of_dependants,6.5053072447984945
bmi_category,3.7298444442080187
income_level,13.885776961376155
income_lakhs,11.186745245966803
insurance_plan,5.276490883797869
normalized_risk_score,3.8170185301977684
gender_male,2.583968636822839
region_northwest,2.1334609365219217
region_southeast,2.994835380411017
region_southwest,2.7210715074850853
marital_status_unmarried,2.4178558203487968
smoking_status_occasional,1.3783772207527405
smoking_status_regular,2.1320896452524627
employment_status_salaried,3.1816679496192304
employment_status_self-employed,2.869049024804083
